ticket_id,subject,description,channel,category,priority,created_at,customer_plan,sla_breached,escalated,support_sentiment
1,Unable to login with my account,Unable to login with my account. Kindly check and update. This issue is impacting my work.,email,Login,High,2026-02-08 11:41:08,Free,0,0,Calm
2,Unable to login with my account,Unable to login with my account. Thank you for your continued support. This issue is impacting my work.,email,Login,High,2026-02-11 04:41:08,Free,0,0,Appreciative
3,Password reset link not working,Password reset link not working. Great service so far. This issue is impacting my work.,web,Login,Medium,2026-01-21 14:41:08,Free,0,0,Appreciative
4,Account locked after multiple attempts,Account locked after multiple attempts. I have faced this issue multiple times. This issue is impacting my work.,email,Login,High,2026-01-21 21:41:08,Free,0,0,Frustrated
5,Getting invalid credentials error,Getting invalid credentials error. This is completely unacceptable. This issue is impacting my work.,chat,Login,Medium,2026-02-10 22:41:08,Free,0,0,Angry
6,Unable to login with my account,Unable to login with my account. I am extremely disappointed. This issue is impacting my work.,email,Login,High,2026-01-29 17:41:08,Enterprise,0,1,Angry
7,Unable to login with my account,Unable to login with my account. This needs immediate attention. This issue is impacting my work.,web,Login,High,2026-01-15 23:41:08,Enterprise,0,1,Urgent
8,Password reset link not working,Password reset link not working. Please assist with this issue. This issue is impacting my work.,chat,Login,Medium,2026-01-17 03:41:08,Free,0,0,Calm
9,Unable to login with my account,Unable to login with my account. Please resolve this urgently. This issue is impacting my work.,web,Login,High,2026-02-07 23:41:08,Pro,0,0,Urgent
10,Getting invalid credentials error,Getting invalid credentials error. Not satisfied with the delay. This issue is impacting my work.,web,Login,High,2026-01-24 08:41:08,Enterprise,0,0,Frustrated
11,Password reset link not working,Password reset link not working. Great service so far. This issue is impacting my work.,email,Login,Medium,2026-02-01 02:41:08,Pro,0,0,Appreciative
12,Password reset link not working,Password reset link not working. This is completely unacceptable. This issue is impacting my work.,email,Login,Medium,2026-02-01 02:41:08,Pro,0,0,Angry
13,Unable to login with my account,Unable to login with my account. Not satisfied with the delay. This issue is impacting my work.,email,Login,High,2026-01-28 22:41:08,Enterprise,0,0,Frustrated
