ticket_id,subject,description,channel,category,priority,created_at,customer_plan,sla_breached,escalated,combined_text,clean_text,clean_text_length
1,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-30 03:53:16,Pro,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
2,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-08 17:53:16,Enterprise,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
3,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-02-04 04:53:16,Free,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
4,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-01-14 14:53:16,Free,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
5,Account locked after multiple attempts,Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,Medium,2026-01-29 10:53:16,Enterprise,0,0,Account locked after multiple attempts Account locked after multiple attempts. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,account locked after multiple attempts account locked after multiple attempts this issue is impacting my work and needs resolution please look into this as soon as possible,27
6,Password reset link not working,Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,chat,Login,High,2026-02-02 04:53:16,Pro,0,0,Password reset link not working Password reset link not working. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,password reset link not working password reset link not working this issue is impacting my work and needs resolution please look into this as soon as possible,27
7,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,Medium,2026-02-02 23:53:16,Pro,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
8,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-22 17:53:16,Enterprise,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
9,Unable to login with my account,Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,email,Login,High,2026-01-27 14:53:16,Enterprise,0,0,Unable to login with my account Unable to login with my account. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,unable to login with my account unable to login with my account this issue is impacting my work and needs resolution please look into this as soon as possible,29
10,Getting invalid credentials error,Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,web,Login,Medium,2026-02-04 13:53:16,Free,0,0,Getting invalid credentials error Getting invalid credentials error. This issue is impacting my work and needs resolution. Please look into this as soon as possible.,getting invalid credentials error getting invalid credentials error this issue is impacting my work and needs resolution please look into this as soon as possible,25
